"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;5;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"KoŸlarz";2;1;4;5;5;1
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Borowik";2;2;5;1;1;5
1150;1;"Borowik";2;2;4;1;1;5
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;4;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Czubajka";2;4;5;3;4;3
1150;1;"Podgrzybek";2;2;4;2;4;2
1150;1;"Podgrzybek";2;2;4;2;4;2
1150;1;"Podgrzybek";2;2;5;2;4;2
